id,image_path,json_path,product_name,brand,master_category,subcategory,article_type,gender,age_group,base_color,season,usage,year,pattern,material,fit,neck,sleeve,occasion,price,discounted_price,fashion_type,display_categories,description,search_text
2245,images/2245.jpg,styles/2245.json,ADIDAS Women White Polo T-shirt,ADIDAS,Apparel,Topwear,Tshirts,Women,Adults-Women,White,Fall,Sports,2010,Solid,Blended,Regular Fit,Polo Collar,Short Sleeves,Casual,1199,1199,Fashion,Sports Wear,White polo shirt with placket sleeves,ADIDAS Women White Polo T-shirt. Brand: ADIDAS. Category: Apparel. Subcategory: Topwear. Type: Tshirts. Gender: Women. Color: White. Season: Fall. Usage: Sports. Pattern: Solid. Material: Blended. Fit: Regular Fit. Occasion: Casual. Description: White polo shirt with placket sleeves
2246,images/2246.jpg,styles/2246.json,ADIDAS Black Backpack,ADIDAS,Accessories,Bags,Backpacks,Unisex,Adults-Unisex,Black,Summer,Sports,2011,,,,,,,1299,1299,Fashion,"Accessories,Sale",-,ADIDAS Black Backpack. Brand: ADIDAS. Category: Accessories. Subcategory: Bags. Type: Backpacks. Gender: Unisex. Color: Black. Season: Summer. Usage: Sports. Description: -
2401,images/2401.jpg,styles/2401.json,Puma White Men's T-shirt,Puma,Apparel,Topwear,Tshirts,Men,Adults-Men,White,Fall,Sports,2010,,,,,,,749,749,Fashion,Sports Wear,"Composition&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Cotton jersey polo t-shirt with contrast placket and cut and sew detailing Wash care&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Hand wash or machine wash Fitting&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Comfort Fit&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; An ultra cool white polo t-shirt with hot black detailing on the shoulders. Be the coolest cat around and team it up with jeans&nbsp; next time you go out with your buddies.&nbsp; &nbsp; Model's Statistics: 1. The model wears size M in t-shirts 2. Height-5.11"", Shoulders-17.5""",Puma White Men's T-shirt. Brand: Puma. Category: Apparel. Subcategory: Topwear. Type: Tshirts. Gender: Men. Color: White. Season: Fall. Usage: Sports. Description: Composition&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Cotton jersey polo t-shirt with contrast placket and cut and sew detailing Wash care&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Hand wash or machine wash Fitting&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nb
2585,images/2585.jpg,styles/2585.json,Kalenji Black Cap,Decathlon,Accessories,Headwear,Caps,Unisex,Adults-Unisex,Black,Summer,Casual,2011,,,,,,,299,299,Fashion,"Accessories,Sale","Composition This cap has polyster mesh Wash Care Hand wash/Machine wash Fitting Comfort This cap is a perfect wear for running purpose and also when you are going on an outing with friends or family. If you enjoy a daily jog or often team up for charity runs, then this is the perfect cap for u. Couple this with casuals on outings for the uber cool look and feel.","Kalenji Black Cap. Brand: Decathlon. Category: Accessories. Subcategory: Headwear. Type: Caps. Gender: Unisex. Color: Black. Season: Summer. Usage: Casual. Description: Composition This cap has polyster mesh Wash Care Hand wash/Machine wash Fitting Comfort This cap is a perfect wear for running purpose and also when you are going on an outing with friends or family. If you enjoy a daily jog or often team up for charity runs, then this is the perfect cap for u. Couple this with casuals on outings for the uber cool look and feel."
2614,images/2614.jpg,styles/2614.json,Carlton London Women Greek Beige Sandal,Carlton London,Footwear,Shoes,Flats,Women,Adults-Women,Beige,Fall,Casual,2010,,,,,,,1295,1295,Fashion,Footwear,"A classic sandal for the woman of style, this pair from carlton london is a perfect addition to your wardrobe. Team this with knee length skirts or shorts for that cool look. Upper Synthetic leather upper with metallic embellishments, straps, flowers and panels covering the forefoot, midfoot and ankle region for maximum style and comfort Padded ankle wrap for comfort Staps and panels for ample ventilation to the feet Lace-ups for ankle wrap to lock the foot in place Midsole PU midsole for durability and comfort Mildly cushioned footbed for ample comfort when walking Outsole TPR outsole for enhanced durability and comfort Horizontal grooves on forefoot and heel for maximum grip and traction Kitten heel for style shoe care Wipe surface using clean, dry cloth to remove dust","Carlton London Women Greek Beige Sandal. Brand: Carlton London. Category: Footwear. Subcategory: Shoes. Type: Flats. Gender: Women. Color: Beige. Season: Fall. Usage: Casual. Description: A classic sandal for the woman of style, this pair from carlton london is a perfect addition to your wardrobe. Team this with knee length skirts or shorts for that cool look. Upper Synthetic leather upper with metallic embellishments, straps, flowers and panels covering the forefoot, midfoot and ankle region for maximum style and comfort Padded ankle wrap for comfort Staps and panels for ample ventilation to the feet Lace-ups for ankle wrap to lock the foot in place Midsole PU midsole for durability and comfort Mildly cushioned footbed for ample comfort when walking Outsole TPR outsole for enh"
2633,images/2633.jpg,styles/2633.json,Carlton London Men Black Leather Casual Shoes.,Carlton London,Footwear,Shoes,Heels,Men,Adults-Men,Black,Summer,Smart Casual,2010,Solid,,,,,Work,695,695,Fashion,,A pair of square-toed black smart casual&nbsp;shoes Synthetic leather upper Cushioned footbed Textured outsole with a slightly upraised&nbsp;heel,Carlton London Men Black Leather Casual Shoes.. Brand: Carlton London. Category: Footwear. Subcategory: Shoes. Type: Heels. Gender: Men. Color: Black. Season: Summer. Usage: Smart Casual. Pattern: Solid. Occasion: Work. Description: A pair of square-toed black smart casual&nbsp;shoes Synthetic leather upper Cushioned footbed Textured outsole with a slightly upraised&nbsp;heel
2640,images/2640.jpg,styles/2640.json,Carlton London Men Brown Formal Shoes,Carlton London,Footwear,Shoes,Formal Shoes,Men,Adults-Men,Brown,Winter,Formal,2012,,,,,,,3495,3495,Fashion,Footwear,"Square toed, low top derby shoes in brown, has central lace-ups Has a leather upper with stitched overlays and reptilian texture Cushioned foot bed with branding at heel TPU outsole with upraised heel","Carlton London Men Brown Formal Shoes. Brand: Carlton London. Category: Footwear. Subcategory: Shoes. Type: Formal Shoes. Gender: Men. Color: Brown. Season: Winter. Usage: Formal. Description: Square toed, low top derby shoes in brown, has central lace-ups Has a leather upper with stitched overlays and reptilian texture Cushioned foot bed with branding at heel TPU outsole with upraised heel"
2805,images/2805.jpg,styles/2805.json,iD Men Casual Leather/Felt Charcoal Sandal,ID,Footwear,Sandal,Sandals,Men,Adults-Men,Black,Fall,Casual,2009,,,,,,,1785,1785,Fashion,Footwear,"Composition: Leather and felt combined to give the rugged look, back strap for firm support of the feet Wash Care: Use a branded leather conditioner to keep it clean and shiny through all the seasons Lazing at the pool side with a martini in hand or sipping on a tender coconut to beat the heat, ensure you have these casual leather sandals on to complete your trendy look. It's a perfect footwear when playing a game of poker with friends on a warm winter night or for that casual weekend drive. Master that carefully careless look with these chappals from id.","iD Men Casual Leather/Felt Charcoal Sandal. Brand: ID. Category: Footwear. Subcategory: Sandal. Type: Sandals. Gender: Men. Color: Black. Season: Fall. Usage: Casual. Description: Composition: Leather and felt combined to give the rugged look, back strap for firm support of the feet Wash Care: Use a branded leather conditioner to keep it clean and shiny through all the seasons Lazing at the pool side with a martini in hand or sipping on a tender coconut to beat the heat, ensure you have these casual leather sandals on to complete your trendy look. It's a perfect footwear when playing a game of poker with friends on a warm winter night or for that casual weekend drive. Master that carefully careless look with these chappals from id."
3018,images/3018.jpg,styles/3018.json,Lee Men's Believe Chocolate T-shirt,Lee,Apparel,Topwear,Tshirts,Men,Adults-Men,Black,Summer,Casual,2011,Printed,Cotton,Regular Fit,Round Neck,Short Sleeves,,799,799,Fashion,"Casual Wear,Sale","Composition: Deep brown round neck, half sleeve t-shirt in 100% cotton with chest print Wash Care: 1.Light machine wash 2.Do not scrub, bleach or dry clean 3.Dry and warm iron on reverse Fitting: Regular Fit This summer, play it cool in this dark chocolate tee from lee. Team this with jeans or cargos to don that sensational look during the day, and pair it with a motorcycle jacket and dark denims for a wild night out. Model's Statistics: 1. The model wears size M in t-shirts 2. Height-6', Shoulders-19""","Lee Men's Believe Chocolate T-shirt. Brand: Lee. Category: Apparel. Subcategory: Topwear. Type: Tshirts. Gender: Men. Color: Black. Season: Summer. Usage: Casual. Pattern: Printed. Material: Cotton. Fit: Regular Fit. Description: Composition: Deep brown round neck, half sleeve t-shirt in 100% cotton with chest print Wash Care: 1.Light machine wash 2.Do not scrub, bleach or dry clean 3.Dry and warm iron on reverse Fitting: Regular Fit This summer, play it cool in this dark chocolate tee from lee. Team this with jeans or cargos to don that sensational look during the day, and pair it with a motorcycle jacket and dark denims for a wild night out. Model's Statistics: 1. The model wears size M in t-shirts 2. Height-6', Shoulders-19"""
3197,images/3197.jpg,styles/3197.json,Tantra Men's Re-Incarnation Burgendy T-shirt,Tantra,Apparel,Topwear,Tshirts,Men,Adults-Men,Maroon,Summer,Casual,2011,Printed,Cotton,Regular Fit,Round Neck,Short Sleeves,,449,449,Fashion,"Casual Wear,Sale","Composition Burgundy round neck t-shirt in 100% cotton with bold chest print Fitting Comfort Washcare Machine wash separately in cold water Use mild detergent Do not bleach Avoid soaking Remove promptly Line dry inside out in shade Warm iron only Do not iron directly on print/embroidery If karma is what you believe in as the foundation of your existence, then this tee from tantra is a great way to broadcast your belief. Team this t-shirt with jeans or cargoes the next time you go out with friends and use this as a cheeky reminder to stay good.&nbsp;&nbsp;&nbsp; &nbsp; Model statistics The model wears size M in t-shirts Height-6', Shoulders-18""","Tantra Men's Re-Incarnation Burgendy T-shirt. Brand: Tantra. Category: Apparel. Subcategory: Topwear. Type: Tshirts. Gender: Men. Color: Maroon. Season: Summer. Usage: Casual. Pattern: Printed. Material: Cotton. Fit: Regular Fit. Description: Composition Burgundy round neck t-shirt in 100% cotton with bold chest print Fitting Comfort Washcare Machine wash separately in cold water Use mild detergent Do not bleach Avoid soaking Remove promptly Line dry inside out in shade Warm iron only Do not iron directly on print/embroidery If karma is what you believe in as the foundation of your existence, then this tee from tantra is a great way to broadcast your belief. Team this t-shirt with jeans or cargoes the next time you go out with friends and use this as a cheeky reminder to stay good.&nbsp;&nbsp;&nbsp; &nbsp; Model statistics The mode"
3212,images/3212.jpg,styles/3212.json,Nike Women Sweet Classic White Pink Shoe,Nike,Footwear,Shoes,Sports Shoes,Women,Adults-Women,White,Summer,Sports,2011,,,,,,,2995,2995,Fashion,"Footwear,Sale","Composition : White and pink vulcanised sneaker with contrast color swoosh branding and herringbone structured outsole shoe Care: 1. Rub surface with a clean, damp cloth to remove dust 2. Do not machine wash These shoes from nike have a really cool retro feel with the classic design and white colour. The pink swoosh corresponds to the pink sole with the herringbone pattern. The shoe gives excellent protection with the white uppers, while the vulcanised sole gives good grip. It's that perfect footwear for urban living.","Nike Women Sweet Classic White Pink Shoe. Brand: Nike. Category: Footwear. Subcategory: Shoes. Type: Sports Shoes. Gender: Women. Color: White. Season: Summer. Usage: Sports. Description: Composition : White and pink vulcanised sneaker with contrast color swoosh branding and herringbone structured outsole shoe Care: 1. Rub surface with a clean, damp cloth to remove dust 2. Do not machine wash These shoes from nike have a really cool retro feel with the classic design and white colour. The pink swoosh corresponds to the pink sole with the herringbone pattern. The shoe gives excellent protection with the white uppers, while the vulcanised sole gives good grip. It's that perfect footwear for urban living."
3240,images/3240.jpg,styles/3240.json,Puma Men's Ducati Red Shoe,Puma,Footwear,Shoes,Sports Shoes,Men,Adults-Men,Red,Fall,Sports,2010,,,,,,,3999,3999,Fashion,Footwear,"These sneakers from puma's Ducati series are unique and feature quality craftsmanship. The low-profile design coupled with a combination leather and synthetic uppers make these a very comfortable and durable pair. The Ducati branding and Jumping cat logo add an extra dimension of style. The cushiony-soft midsole makes these shoes lightweight, while the rubber outsole with the motorcycle inspired tread pattern gives excellent traction. Upper Synthetic upper for durability Lace up front for snug Fit Soft near the toe box for flexible movement of the toe counter Midsole Soft footbed for ergonomic fit Lightweight EVA midsole for superior shock absorption Outsole Vulcanized sole with tire profile Rubber sole for extended durability Ducati lettering and puma Cat logo","Puma Men's Ducati Red Shoe. Brand: Puma. Category: Footwear. Subcategory: Shoes. Type: Sports Shoes. Gender: Men. Color: Red. Season: Fall. Usage: Sports. Description: These sneakers from puma's Ducati series are unique and feature quality craftsmanship. The low-profile design coupled with a combination leather and synthetic uppers make these a very comfortable and durable pair. The Ducati branding and Jumping cat logo add an extra dimension of style. The cushiony-soft midsole makes these shoes lightweight, while the rubber outsole with the motorcycle inspired tread pattern gives excellent traction. Upper Synthetic upper for durability Lace up front for snug Fit Soft near the toe box for flexible movement of the toe counter Midsole Soft footbed for ergonomic"
3288,images/3288.jpg,styles/3288.json,Guerrilla Men's I Like What I See Navy Blue T-shirt,Guerrilla,Apparel,Topwear,Tshirts,Men,Adults-Men,Navy Blue,Summer,Casual,2011,Printed,Cotton,Slim Fit,Round Neck,Short Sleeves,,495,495,Fashion,"Sale and Clearance,Casual Wear,Sale","Composition: Blue round neck t-shirt made of 100% cotton with graphic chest print Care: 1. Machine wash separately in cold water 2. Use mild detergent 3. Do not bleach 4. Avoid soaking 5. Remove promptly 6. Line dry inside-out in shaded 7. Warm iron only 8. Do not iron directly on print/embroidery Fitting: Slim Fit Be a crazy frog and let everyone know that you are a great appreciatror of fine things. Wear this blue tee&nbsp; from guerrilla and let people&nbsp; know that you so like what you see. Team these with a pair of jeans or cargoes while hanging out with friends, going to the mall, the movies etc. Models' statistics: 1. The model wears size M in t-shirts 2. Height-5'11 ft, Shoulders-18""","Guerrilla Men's I Like What I See Navy Blue T-shirt. Brand: Guerrilla. Category: Apparel. Subcategory: Topwear. Type: Tshirts. Gender: Men. Color: Navy Blue. Season: Summer. Usage: Casual. Pattern: Printed. Material: Cotton. Fit: Slim Fit. Description: Composition: Blue round neck t-shirt made of 100% cotton with graphic chest print Care: 1. Machine wash separately in cold water 2. Use mild detergent 3. Do not bleach 4. Avoid soaking 5. Remove promptly 6. Line dry inside-out in shaded 7. Warm iron only 8. Do not iron directly on print/embroidery Fitting: Slim Fit Be a crazy frog and let everyone know that you are a great appreciatror of fine things. Wear this blue tee&nbsp; from guerrilla and let people&nbsp; know that you so like what you see. Team these with a pair of jeans or cargoes while hanging out with friends, going to the mall, the "
